#  wl flux error bpmap
3.571026e+03 -2.222594e-19 1.217967e-18   0.000000
3.571626e+03 8.441190e-19 1.203889e-18   0.000000
3.572226e+03 2.122297e-18 1.222763e-18   0.000000
3.572826e+03 2.229106e-18 1.329686e-18   0.000000
3.573426e+03 1.618132e-18 1.496726e-18   0.000000
3.574026e+03 -9.198584e-19 1.394369e-18   0.000000
3.574627e+03 -5.497833e-19 1.265814e-18   0.000000
3.575227e+03 5.403912e-19 1.222535e-18   0.000000
3.575827e+03 7.925942e-19 1.238828e-18   0.000000
3.576427e+03 -1.234555e-18 1.245400e-18   0.000000
3.577027e+03        nan        nan   0.000000
3.577627e+03 2.493401e-18 1.277273e-18   0.000000
3.578227e+03 9.085992e-19 1.404734e-18   0.000000
3.578827e+03 -1.932915e-19 1.332189e-18   0.000000
3.579428e+03 1.038772e-18 1.247071e-18   0.000000
3.580028e+03 3.112981e-18 1.360118e-18   0.000000
3.580628e+03 1.883330e-19 1.315938e-18   0.000000
3.581228e+03 -1.996322e-18 1.191290e-18   0.000000
3.581828e+03 1.164799e-18 1.177595e-18   0.000000
3.582428e+03 1.041456e-18 1.203721e-18   0.000000
3.583028e+03 3.880139e-19 1.240740e-18   0.000000
3.583628e+03 2.295502e-18 1.403485e-18   0.000000
3.584228e+03 2.716326e-18 1.361069e-18   0.000000
3.584829e+03 -3.467543e-19 1.228404e-18   0.000000
3.585429e+03 1.006050e-18 1.240466e-18   0.000000
3.586029e+03 -1.852781e-18 1.182932e-18   0.000000
3.586629e+03 7.356347e-19 1.223579e-18   0.000000
3.587229e+03 2.834199e-18 1.294476e-18   0.000000
3.587829e+03 1.121455e-18 1.281828e-18   0.000000
3.588429e+03 4.120054e-19 1.244374e-18   0.000000
3.589029e+03 1.890494e-18 1.210278e-18   0.000000
3.589630e+03 2.237890e-18 1.316941e-18   0.000000
3.590230e+03        nan        nan   0.000000
3.590830e+03 -6.270197e-19 1.261743e-18   0.000000
