#  wl flux error bpmap
3.507413e+03 5.996333e-18 2.144420e-18   0.000000
3.508013e+03 3.266037e-18 2.169152e-18   0.000000
3.508613e+03 1.441962e-18 2.198466e-18   0.000000
3.509213e+03 4.764620e-18 2.357170e-18   0.000000
3.509813e+03 -6.694374e-19 2.424857e-18   0.000000
3.510413e+03 -2.692229e-18 2.359101e-18   0.000000
3.511014e+03 2.158940e-18 2.484931e-18   0.000000
3.511614e+03 3.030690e-18 2.294492e-18   0.000000
3.512214e+03 4.158245e-18 2.251048e-18   0.000000
3.512814e+03 7.678988e-19 2.311529e-18   0.000000
3.513414e+03 1.638013e-18 2.170558e-18   0.000000
3.514014e+03 2.511361e-18 2.154715e-18   0.000000
3.514614e+03 3.973926e-18 2.069387e-18   0.000000
3.515214e+03 4.536484e-18 2.098655e-18   0.000000
3.515815e+03 2.636160e-18 2.080056e-18   0.000000
3.516415e+03        nan        nan   0.000000
3.517015e+03 1.340061e-18 2.213086e-18   0.000000
3.517615e+03 6.136390e-18 2.179693e-18   0.000000
3.518215e+03 3.010801e-18 2.076545e-18   0.000000
3.518815e+03 -9.198573e-19 2.008996e-18   0.000000
3.519415e+03 2.228757e-18 2.078138e-18   0.000000
3.520015e+03 3.144071e-18 2.114176e-18   0.000000
3.520616e+03 3.451298e-19 1.960688e-18   0.000000
3.521216e+03 3.085814e-18 1.973142e-18   0.000000
3.521816e+03 7.971293e-19 1.851624e-18   0.000000
3.522416e+03 2.115466e-18 1.844926e-18   0.000000
3.523016e+03 -8.691884e-19 1.958259e-18   0.000000
3.523616e+03 1.043780e-18 2.071426e-18   0.000000
3.524216e+03 1.425737e-18 1.974751e-18   0.000000
3.524816e+03 4.324056e-18 1.886740e-18   0.000000
3.525417e+03 -2.395248e-19 1.889221e-18   0.000000
3.526017e+03 1.888327e-18 1.882037e-18   0.000000
3.526617e+03 9.433457e-19 1.818568e-18   0.000000
3.527217e+03 6.581624e-19 1.826064e-18   0.000000
3.527817e+03 1.219743e-18 1.865162e-18   0.000000
3.528417e+03 -1.219168e-18 1.839748e-18   0.000000
3.529017e+03 1.772994e-18 1.810188e-18   0.000000
3.529617e+03 -2.611167e-18 1.818100e-18   0.000000
3.530218e+03 1.882891e-18 1.775663e-18   0.000000
3.530818e+03 2.699410e-18 1.816657e-18   0.000000
3.531418e+03 -7.962996e-19 1.861052e-18   0.000000
3.532018e+03 5.567895e-18 1.931118e-18   0.000000
3.532618e+03 3.293151e-19 1.786874e-18   0.000000
3.533218e+03 3.679669e-18 1.768620e-18   0.000000
3.533818e+03 5.847470e-18 1.771309e-18   0.000000
3.534418e+03 1.270140e-18 1.733253e-18   0.000000
3.535018e+03 9.503837e-20 1.800302e-18   0.000000
3.535619e+03 2.795918e-19 1.760041e-18   0.000000
3.536219e+03 2.827966e-18 1.757987e-18   0.000000
3.536819e+03 3.121987e-18 1.719642e-18   0.000000
3.537419e+03 -7.494059e-19 1.671144e-18   0.000000
3.538019e+03 2.499381e-18 1.760678e-18   0.000000
3.538619e+03 1.107633e-18 1.742541e-18   0.000000
3.539219e+03 -1.818676e-19 1.737949e-18   0.000000
3.539819e+03 3.249337e-18 1.858994e-18   0.000000
3.540420e+03 1.647519e-19 1.966419e-18   0.000000
3.541020e+03 5.961964e-18 2.014724e-18   0.000000
3.541620e+03 2.883841e-18 2.082142e-18   0.000000
3.542220e+03 3.384142e-18 1.964554e-18   0.000000
3.542820e+03        nan        nan   0.000000
3.543420e+03 -8.462794e-19 2.448533e-18   0.000000
3.544020e+03 2.945243e-18 2.178962e-18   0.000000
3.544620e+03 -9.083025e-19 2.264645e-18   0.000000
3.545221e+03 3.756470e-18 2.428234e-18   0.000000
3.545821e+03 -1.055341e-18 2.156309e-18   0.000000
3.546421e+03 2.811543e-18 2.125994e-18   0.000000
3.547021e+03 -7.882095e-19 2.152686e-18   0.000000
3.547621e+03 2.634012e-18 2.250774e-18   0.000000
3.548221e+03 2.677425e-19 2.094314e-18   0.000000
3.548821e+03 2.659424e-18 2.078521e-18   0.000000
3.549421e+03 4.768656e-18 2.033871e-18   0.000000
3.550022e+03 1.374105e-18 2.049463e-18   0.000000
3.550622e+03 3.696277e-18 2.053813e-18   0.000000
3.551222e+03 2.878859e-18 2.036654e-18   0.000000
3.551822e+03 3.759212e-18 2.067677e-18   0.000000
3.552422e+03 7.881947e-19 1.881327e-18   0.000000
3.553022e+03 4.398431e-18 2.002571e-18   0.000000
3.553622e+03 2.773146e-18 2.208452e-18   0.000000
3.554222e+03        nan        nan   0.000000
3.554823e+03 2.731299e-18 2.252627e-18   0.000000
3.555423e+03 3.309644e-18 2.274931e-18   0.000000
3.556023e+03        nan        nan   0.000000
3.556623e+03 5.201757e-18 2.146617e-18   0.000000
3.557223e+03 -6.208604e-19 2.072203e-18   0.000000
